signal_datetime,entry_datetime,exit_datetime,long_symbols,short_symbols,long_return,short_asset_return,gross_return,net_return,equity,drawdown
2025-11-03 00:00:00+00:00,2025-11-04 00:00:00+00:00,2025-11-07 00:00:00+00:00,"XLK,XLY","XLU,XLV",-0.025035317539887247,0.0015317424101132238,-0.013283529975000236,-0.013283529975000236,1.0744761671173841,-0.013283529975000152
2025-11-06 00:00:00+00:00,2025-11-07 00:00:00+00:00,2025-11-12 00:00:00+00:00,"XLY,XLK","XLI,XLV",0.026465496436590685,0.02584549980280293,0.000309998316893878,0.000309998316893878,1.0748092529207331,-0.012977649530040991
2025-11-11 00:00:00+00:00,2025-11-12 00:00:00+00:00,2025-11-17 00:00:00+00:00,"XLK,XLY","XLP,XLV",-0.03891678139497706,-0.00019597987277031326,-0.019360400761103375,-0.019360400761103375,1.0540005150424456,-0.032086797795305544
2025-11-14 00:00:00+00:00,2025-11-17 00:00:00+00:00,2025-11-20 00:00:00+00:00,"XLY,XLK","XLI,XLU",-0.002304680606027676,0.0024677841356859354,-0.0023862323708568056,-0.0023862323708568056,1.0514854248945515,-0.034396463610586125
2025-11-19 00:00:00+00:00,2025-11-20 00:00:00+00:00,2025-11-25 00:00:00+00:00,"XLK,XLY","XLV,XLI",-0.014267781392455547,0.004223711683659259,-0.009245746538057403,-0.009245746538057403,1.0417636571675148,-0.04332418916429459
2025-11-24 00:00:00+00:00,2025-11-25 00:00:00+00:00,2025-12-01 00:00:00+00:00,"XLK,XLE","XLC,XLU",0.023088254904922834,0.006023521804137122,0.008532366550392856,0.008532366550392856,1.050652366549346,-0.03516148047635004
2025-11-28 00:00:00+00:00,2025-12-01 00:00:00+00:00,2025-12-04 00:00:00+00:00,"XLK,XLE","XLC,XLF",0.018866374613114356,0.011118659489792737,0.0038738575616608095,0.0038738575616608095,1.0547224441641798,-0.03142383348171185
2025-12-03 00:00:00+00:00,2025-12-04 00:00:00+00:00,2025-12-09 00:00:00+00:00,"XLRE,XLK","XLI,XLF",0.005574318169395576,-0.001779527005156989,0.0036769225872762823,0.0036769225872762823,1.0586005769424345,-0.02786245389754316
2025-12-08 00:00:00+00:00,2025-12-09 00:00:00+00:00,2025-12-12 00:00:00+00:00,"XLK,XLU","XLI,XLRE",0.001203750573919582,0.015292957154811049,-0.007044603290445733,-0.007044603290445733,1.051143155834838,-0.03471077725358229
2025-12-11 00:00:00+00:00,2025-12-12 00:00:00+00:00,2025-12-17 00:00:00+00:00,"XLK,XLU","XLRE,XLF",-0.015633574697861696,-0.008327982008120127,-0.0036527963448707845,-0.0036527963448707845,1.0473035439572687,-0.03823678219817361
2025-12-16 00:00:00+00:00,2025-12-17 00:00:00+00:00,2025-12-22 00:00:00+00:00,"XLE,XLK","XLC,XLP",0.016678246098785987,-0.00316979359025632,0.009924019844521154,0.009924019844521154,1.057697005110738,-0.028692224938977717
2025-12-19 00:00:00+00:00,2025-12-22 00:00:00+00:00,2025-12-26 00:00:00+00:00,"XLK,XLE","XLRE,XLF",0.004093578909098672,0.015040666213733123,-0.005473543652317225,-0.005473543652317225,1.0519076543823391,-0.03400872044560932
